year,month,wind_mean,precip_mm_mean,precip_mmh_mean,rh_mean,tair_k_mean,qair_kgkg_mean,lwnet_wm2_mean,soilm_surface_kgm2_mean,soilm_total_kgm2_mean,wind_anom_mean,precip_anom_mean,rh_anom_mean,qair_anom_mean,tair_anom_mean,lwnet_anom_mean,soilm_surface_anom_mean,fire_detections
2002,12,3.7449849,4.89209,0.006575389,39.2993,291.0991,0.005726297,-99.16562,20.342978,604.36975,-0.12919661,-4.6115365,-7.861884,-0.00084891875,1.0832534,-6.498539,-2.1792262,354
2003,1,4.0170913,9.238904,0.012417882,37.444004,289.64606,0.005215335,-101.71151,19.074095,577.6284,-0.00074944046,-3.2955272,-6.2344112,-0.0005169738,0.5397865,-5.1959743,-1.6510236,1361
2003,2,4.25604,21.159525,0.031487387,44.082756,291.98514,0.0068557733,-98.154785,20.155294,562.37787,0.041344203,5.7236633,4.742297,0.00093085895,0.054423675,4.9477673,0.07302401,1527
2003,3,4.3437195,21.865995,0.02938978,35.813488,295.60516,0.0065338355,-112.37721,19.331362,551.8577,0.084669285,0.8370399,0.5868843,-0.000106990985,-0.5159885,-1.6547242,0.023030376,10092
2003,4,4.562748,32.829872,0.04559705,33.59964,300.53384,0.00798214,-116.00544,19.912132,548.82745,0.08129174,-3.9243534,-1.5567067,-0.00017035127,0.50366247,-3.7445207,-0.53965926,6365
2003,5,5.397861,39.145996,0.052615587,33.956642,302.01395,0.008703289,-116.69345,20.287693,553.76215,0.3153477,-22.590372,-6.2575097,-0.0017739257,0.026617471,-12.662172,-1.5391712,1971
2003,6,5.837361,147.71379,0.20515804,51.077362,301.5324,0.013396088,-83.43123,25.190973,575.8379,0.30189532,-11.76001,-4.955389,-0.0007387064,0.65190953,-6.351632,-2.1871178,663
2003,7,5.302667,272.11688,0.36574852,73.626335,298.67307,0.016816098,-54.40955,34.307343,672.1702,-0.37121153,-2.7870502,1.9938711,0.00039025684,-0.23472072,2.2424822,0.7281668,30
2003,8,5.1482224,217.00864,0.29167828,76.39145,298.07513,0.01677931,-51.19573,35.026154,737.2254,-0.05245264,-39.131596,0.4660525,0.00014500994,-0.00495535,-0.035396054,-0.97391605,4
2003,9,4.5705934,175.99341,0.2444353,74.33367,297.34607,0.015712164,-53.657303,34.586807,752.1497,0.29968715,-4.2731233,2.1628351,0.00038534173,-0.082655236,2.6158807,-1.1227325,14
2003,10,3.658434,99.61923,0.13389683,59.699768,295.64972,0.011571016,-75.111725,32.202923,740.36285,0.17016502,20.106909,0.32427907,-4.9849234e-05,-0.3095846,-1.5590547,0.16843297,13
2003,11,3.6037157,17.172441,0.023850614,50.86172,292.61234,0.008360736,-89.63825,27.213524,690.89453,-0.030597104,-7.734865,-1.223076,-0.00022978334,-0.28629217,-4.1684513,0.4048325,80
2003,12,3.953747,7.3213525,0.009840527,49.962128,289.68732,0.006712902,-91.96796,22.568565,644.1523,0.079565495,-2.182274,2.8009462,0.00013768535,-0.3285306,0.6991203,0.046361744,228
2004,1,3.9224072,14.524036,0.019521555,48.8648,288.8777,0.00626707,-92.07736,21.039206,612.46796,-0.09543343,1.9896059,5.186382,0.0005347612,-0.22859026,4.4381776,0.314089,623
2004,2,4.0151596,8.034092,0.011543236,36.084538,291.6751,0.0054002614,-110.809105,20.226501,587.1523,-0.1995363,-7.40177,-3.2559175,-0.0005246534,-0.25560725,-7.7065477,0.14422958,2963
2004,3,4.3944893,9.8334875,0.013217054,27.913784,297.92474,0.0057236087,-125.69119,17.570797,560.7428,0.13543859,-11.195468,-7.31282,-0.00091721764,1.8036038,-14.968703,-1.7375343,19619
2004,4,4.750502,53.58602,0.07442503,35.37137,300.62634,0.008542148,-112.189224,20.787697,564.1567,0.26904604,16.831789,0.21502088,0.00038965658,0.5961176,0.071693316,0.3359067,3239
2004,5,5.3008914,74.72089,0.10043131,43.465588,301.28427,0.011065898,-100.73808,22.25843,576.2053,0.21837802,12.984527,3.2514403,0.00058868417,-0.70305204,3.2931995,0.4315691,1375
